Metric,Raw Landmarks,Engineered Features
Accuracy,0.9721428571428572,0.97
Precision,0.9731704958056205,0.9707267792608911
Recall,0.9721428571428571,0.97
F1-score,0.9724231863238298,0.9701373440373294
Avg Prediction Time (ms),0.8339905738830566,0.6726574897766113
Feature Count,63.0,90.0
Model Size (MB),1.511794090270996,1.5894460678100586
